 2142522|13.323| 67.043|0.98|0.34|2.32|0.51|<|0.85|    |6046|4.40|1.04|1.11|0.39|P1|Y|N|
 2307415|13.122| 66.396|1.26|0.13|1.90|0.12|<|0.52|    |6133|4.38|1.14|1.57|0.16|S |N|Y|
 2441495|12.493| 71.457|2.38|0.24|1.13|0.03|<|0.47|    |5192|4.56|0.76|1.99|0.20|S |N|Y|
 2444412|14.911| 74.337|3.38|0.34|4.24|0.31| |0.93|0.01|5551|4.47|0.92|3.41|0.34|S |N|Y|
 2571238| 9.287| 68.984|2.90|0.29|3.72|0.38| |0.90|0.03|5544|4.50|0.89|2.82|0.28|S |N|Y|
 2853446| 7.373| 70.613|1.39|0.14|0.74|0.06|<|0.70|    |5969|4.37|1.10|1.65|0.17|S |N|Y|
 3098810|40.811| 75.673|1.98|0.20|1.45|0.12|<|0.70|    |6071|4.31|1.27|2.75|0.28|S |N|Y|
 3120904|42.915| 72.866|1.15|0.12|2.96|0.36|<|0.66|    |6151|4.31|1.26|1.59|0.16|S | |N|n
 3342794|14.172| 75.591|1.40|0.14|1.31|0.13|<|0.55|    |5900|4.35|1.10|1.68|0.17|S |N|Y|
 3442055|29.619| 66.681|1.57|0.16|2.48|0.15|<|0.57|    |5624|4.41|1.01|1.72|0.17|S |N|Y|
 3531558|24.994| 71.674|1.49|0.15|2.93|0.12|<|0.53|    |5808|4.35|1.14|1.85|0.19|S |N|Y|
 3545135| 8.483| 65.973|0.81|0.08|1.44|0.10|<|0.57|    |5794|4.40|1.02|0.90|0.09|S |N|N|n
 3835670|14.558| 78.084|2.86|0.29|3.89|0.22| |0.31|0.19|5722|4.14|1.58|4.93|0.49|S |N|Y|
 3839488|11.131| 67.370|1.36|0.14|1.97|0.11|<|0.50|    |5991|4.36|1.11|1.64|0.17|S |N|Y|
 3852655|11.629| 65.817|0.85|0.30|1.49|0.23|<|0.79|    |5822|4.36|1.05|0.97|0.34|P1|N|N|n
 3942670|33.416| 70.911|1.48|0.15|3.99|0.24|<|0.63|    |6012|4.28|1.32|2.13|0.21|S |N|Y|
 4043190| 6.401| 69.883|1.07|0.11|1.35|0.08|<|0.65|    |5302|3.83|2.45|2.86|0.29|S |N|Y|
 4049901|16.291| 65.115|0.64|0.23|1.72|0.16|<|0.68|    |5250|4.48|0.85|0.60|0.21|P1|N|Y|
 4548011| 6.284| 66.198|0.60|0.06|2.23|0.64|<|0.49|    |5991|4.30|1.26|0.83|0.09|S | |N|n
 4644604|14.486| 64.550|2.03|0.21|1.49|0.15|<|0.59|    |5739|4.34|1.04|2.32|0.23|S |N|Y|
 4770174| 6.096| 67.600|0.57|0.20|3.08|0.44|<|0.75|    |6013|4.44|1.01|0.63|0.22|P1|N|N|n
 4827723| 7.239| 68.024|1.63|0.17|2.20|0.37| |0.70|0.12|5392|4.52|0.87|1.54|0.16|S |N|Y|
 4914423|15.965| 75.182|2.17|0.22|3.14|0.28| |0.71|0.06|5904|4.27|1.29|3.05|0.31|S |N|Y|
 4914566|22.241| 77.736|0.83|0.29|3.76|0.36|<|0.73|    |5974|4.22|1.31|1.18|0.41|P1|Y|N|
 5009743|41.699|102.563|1.94|0.20|2.87|0.30|<|0.70|    |5937|4.35|1.09|2.32|0.23|S |N|Y|
 5042210|12.147| 64.535|0.81|0.08|3.22|0.21|<|0.56|    |6007|4.27|1.31|1.16|0.12|S |N|Y|
 5094751| 6.482| 68.943|1.69|0.17|2.51|0.31| |0.69|0.13|5929|4.37|1.10|2.02|0.20|S |N|Y|
 5096590|29.610| 70.332|1.00|0.35|2.60|0.20|<|0.67|    |5623|4.63|0.73|0.79|0.28|P1| |N|n
